?   	github.com/georgechieng-sc/interns-2022	[no test files]
goos: linux
goarch: amd64
pkg: github.com/georgechieng-sc/interns-2022/folder
cpu: 11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1240522	       985.1 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1256167	       977.7 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1248674	       946.6 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1279094	       953.4 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1225456	       967.8 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1244775	       967.9 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  155262	      7361 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  165115	      7403 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  157879	      7279 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  153711	      7390 ns/op	    7829 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  165201	      7445 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  160284	      7478 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  161440	      7538 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  167726	      7366 ns/op	    7830 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  160922	      7446 ns/op	    7829 B/op	      87 allocs/op
Benchmark_folder_MoveFolder_large_tree_to_shallow-12    	  169159	      7513 ns/op	    7829 B/op	      87 allocs/op
